,Ram,Battery,Display,Price,company,Inbuilt_memory,fast_charging,Screen_resolution,Processor,Processor_name,rear,front,no_of_sim,Is_5G
848,12.0,5000,6.78,33499,Vivo,256,80.0,1260 x 2800,Octa Core,Snapdragon,50,50,Dual Sim,Yes
849,8.0,5000,6.78,37999,Vivo,128,66.0,1080 x 2400,Octa Core,Dimensity,50,50,Dual Sim,Yes
850,12.0,5000,6.78,36999,Vivo,256,66.0,1080 x 2400,Octa Core,Dimensity,50,50,Dual Sim,Yes
851,12.0,5000,6.56,31899,Vivo,256,66.0,1080 x 2400,Octa Core,Dimensity,64,32,Dual Sim,Yes
852,12.0,5000,6.78,36990,Vivo,256,80.0,1260 x 2800,Octa Core,Dimensity,50,50,Dual Sim,Yes
853,12.0,5000,6.78,45215,Vivo,512,80.0,1260 x 2800,Octa Core,Dimensity,50,50,Dual Sim,Yes
854,16.0,5000,6.78,69999,Vivo,256,120.0,1260 x 2800,Octa Core,Dimensity,64,32,Dual Sim,Yes
855,12.0,5000,6.78,68899,Vivo,256,120.0,1260 x 2800,Octa Core,Dimensity,50,32,Dual Sim,Yes
856,12.0,5000,6.78,63490,Vivo,256,120.0,1260 x 2800,Octa Core,Dimensity,50,32,Dual Sim,Yes
857,4.0,5000,6.74,8349,Realme,128,18.0,1080 x 2400,Octa Core,Tiger,108,8,Dual Sim,No
858,4.0,5000,6.74,7820,Realme,64,33.0,480 x 960,Octa Core,Unisoc,50,8,Dual Sim,No
859,6.0,5000,6.72,8890,Realme,64,33.0,1080 x 2400,Octa Core,Helio,64,8,Dual Sim,No
860,6.0,5000,6.74,9478,Realme,128,33.0,480 x 960,Octa Core,Unisoc,50,8,Dual Sim,No
861,6.0,5000,6.72,9764,Realme,128,33.0,1080 x 2400,Octa Core,Helio,64,8,Dual Sim,No
862,4.0,5000,6.72,8999,Realme,64,33.0,1080 x 2400,Octa Core,Helio,64,8,Dual Sim,No
863,6.0,5000,6.74,9489,Realme,64,18.0,1080 x 2400,Octa Core,Tiger,108,8,Dual Sim,No
864,4.0,5000,6.74,8744,Realme,128,33.0,480 x 960,Octa Core,Unisoc,50,5,Dual Sim,No
865,4.0,5000,6.72,9800,Realme,64,33.0,1080 x 2400,Octa Core,Helio,64,8,Dual Sim,No
866,4.0,5000,6.67,8990,Realme,64,15.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
867,4.0,5000,6.52,7290,Realme,64,18.0,480 x 960,Octa Core,Tiger,13,5,Dual Sim,No
868,4.0,5000,6.72,11049,Realme,128,33.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
869,6.0,5000,6.72,10190,Realme,128,33.0,1080 x 2400,Octa Core,Helio,64,8,Dual Sim,No
870,8.0,5000,6.74,10466,Realme,128,33.0,480 x 960,Octa Core,Unisoc,50,8,Dual Sim,No
871,6.0,5000,6.6,10990,Realme,128,18.0,1080 x 2400,Octa Core,Tiger,50,8,Dual Sim,No
872,4.0,5000,6.6,10499,Realme,64,33.0,1080 x 2400,Octa Core,Helio,50,16,Dual Sim,No
873,4.0,5000,6.6,10750,Realme,64,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
874,4.0,6000,6.5,10899,Realme,64,18.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
875,4.0,5000,6.6,10999,Realme,128,18.0,1080 x 2400,Octa Core,Tiger,50,8,Dual Sim,No
876,6.0,5000,6.72,12877,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
877,6.0,5000,6.72,13374,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
878,6.0,5000,6.67,12499,Realme,128,15.0,480 x 960,Octa Core,Dimensity,50,8,Dual Sim,Yes
879,8.0,5000,6.72,12900,Realme,128,33.0,1080 x 2400,Octa Core,Helio,64,8,Dual Sim,No
880,6.0,5000,6.78,12999,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
881,6.0,5000,6.72,13489,Realme,128,33.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
882,4.0,4500,6.59,12999,Realme,64,33.0,1080 x 2400,Octa Core,Helio,64,16,Dual Sim,No
883,6.0,5000,6.4,12990,Realme,128,30.0,1080 x 2400,Octa Core,Helio,64,16,Dual Sim,No
884,4.0,5000,6.74,12990,Realme,64,67.0,1080 x 2400,Octa Core,Helio,50,16,Dual Sim,No
885,6.0,5000,6.5,13999,Realme,64,30.0,1080 x 2400,Octa Core,Helio,64,16,Dual Sim,No
886,6.0,5000,6.67,15999,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
887,6.0,5000,6.67,15323,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
888,8.0,5000,6.67,18708,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
889,8.0,5000,6.43,16485,Realme,128,33.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
890,8.0,5000,6.67,18398,Realme,256,45.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
891,8.0,5000,6.67,18577,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
892,6.0,5000,6.72,16499,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,108,8,Dual Sim,Yes
893,8.0,5000,6.67,16400,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
894,8.0,5000,6.67,16949,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
895,8.0,5000,6.7,16990,Realme,128,80.0,1080 x 2400,Octa Core,Octa,50,16,Dual Sim,Yes
896,8.0,5000,6.72,17990,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,108,32,Dual Sim,Yes
897,8.0,5000,6.72,17949,Realme,256,67.0,1080 x 2400,Octa Core,Dimensity,108,16,Dual Sim,Yes
898,8.0,5000,6.72,16998,Realme,128,45.0,1080 x 2400,Octa Core,Dimensity,108,8,Dual Sim,Yes
899,8.0,5000,6.72,17789,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,108,16,Dual Sim,Yes
900,8.0,5000,6.4,16500,Realme,128,33.0,1080 x 2400,Octa Core,Helio,50,16,Dual Sim,No
901,12.0,5500,6.78,24999,Realme,256,120.0,1260 x 2800,Octa Core,Snapdragon,50,32,Dual Sim,Yes
902,8.0,5000,6.7,21828,Realme,128,67.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
903,8.0,5000,6.7,27875,Realme,128,67.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
904,8.0,5000,6.7,21477,Realme,128,45.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
905,8.0,5000,6.7,23880,Realme,128,80.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
906,8.0,4500,6.43,23999,Realme,128,65.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
907,8.0,5000,6.7,23900,Realme,256,67.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
908,8.0,5000,6.67,20615,Realme,256,67.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
909,8.0,5000,6.7,23999,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,100,16,Dual Sim,Yes
910,12.0,4500,6.7,23649,Realme,256,150.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
911,8.0,5000,6.7,29004,Realme,256,67.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
912,8.0,5000,6.7,22799,Realme,256,45.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
913,12.0,5000,6.7,26999,Realme,256,67.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
914,6.0,5000,6.7,24150,Realme,128,67.0,1080 x 2400,Octa Core,Dimensity,108,16,Dual Sim,Yes
915,8.0,5500,6.74,29999,Realme,128,120.0,1260 x 2800,Octa Core,Snapdragon,50,32,Dual Sim,Yes
916,12.0,5000,6.7,30990,Realme,256,67.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
917,8.0,5000,6.7,33900,Realme,128,65.0,480 x 960,Octa Core,Snapdragon,50,32,Dual Sim,Yes
918,8.0,5000,6.8,54990,Realme,256,250.0,1260 x 2800,Octa Core,Snapdragon,200,32,Dual Sim,Yes
919,8.0,5000,6.7,54999,Realme,128,65.0,480 x 960,Octa Core,Snapdragon,50,32,Dual Sim,Yes
920,8.0,5000,6.7,52990,Realme,128,80.0,480 x 960,Octa Core,Snapdragon,64,32,Dual Sim,Yes
921,8.0,5000,8.0,94990,Realme,128,65.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
922,8.0,5000,7.2,104990,Realme,128,67.0,1800 x 3440,Octa Core,Snapdragon,50,16,Dual Sim,Yes
923,8.0,4500,6.67,89990,Realme,128,67.0,1080 x 2400,Octa Core,Snapdragon,50,16,Single Sim,Yes
924,8.0,6000,6.6,8999,Motorola,128,30.0,480 x 960,Octa Core,Helio,50,16,Dual Sim,No
925,8.0,5000,6.55,9999,Motorola,128,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
926,4.0,6000,6.6,7999,Motorola,128,30.0,480 x 960,Octa Core,Helio,50,16,Dual Sim,No
927,4.0,5000,6.56,6999,Motorola,64,15.0,480 x 960,Octa Core,Unisoc,16,5,Dual Sim,No
928,4.0,6000,6.78,6999,Motorola,64,18.0,480 x 960,Octa Core,Snapdragon,64,16,Dual Sim,No
929,8.0,5000,6.56,7999,Motorola,128,15.0,480 x 960,Octa Core,Unisoc,16,5,Dual Sim,No
930,4.0,5000,6.47,8499,Motorola,64,20.0,1080 x 2400,Octa Core,Helio,50,13,Dual Sim,No
931,4.0,5000,6.5,8499,Motorola,128,20.0,1080 x 2400,Octa Core,Tiger,50,8,Dual Sim,No
932,8.0,5000,6.5,7998,Motorola,128,10.0,480 x 960,Octa Core,Tiger,13,5,Dual Sim,No
933,3.0,5000,6.56,6999,Motorola,64,18.0,480 x 960,Octa Core,Helio,13,8,Dual Sim,No
934,4.0,5000,6.5,6999,Motorola,64,10.0,480 x 960,Octa Core,Tiger,13,5,Dual Sim,No
935,4.0,5000,6.5,8999,Motorola,128,10.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
936,4.0,5000,6.2,8999,Motorola,64,18.0,1080 x 2400,Octa Core,Snapdragon,16,12,Dual Sim,No
937,4.0,5000,6.67,8990,Motorola,128,18.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
938,4.0,5000,6.5,6999,Motorola,64,10.0,480 x 960,Octa Core,Helio,16,8,Dual Sim,No
939,4.0,5000,6.5,6999,Motorola,64,10.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
940,4.0,5000,6.53,7999,Motorola,64,20.0,480 x 960,Octa Core,Helio,50,16,Dual Sim,No
941,4.0,5000,6.5,7090,Motorola,64,18.0,480 x 960,Octa Core,Snapdragon,48,8,Dual Sim,No
942,4.0,5000,6.56,8990,Motorola,64,15.0,480 x 960,Octa Core,Unisoc,50,5,Dual Sim,No
943,4.0,5000,6.56,9990,Motorola,128,15.0,480 x 960,Octa Core,Helio,50,8,Dual Sim,No
944,8.0,5000,6.5,11999,Motorola,128,18.0,480 x 960,Octa Core,Snapdragon,50,16,Dual Sim,Yes
945,4.0,5000,6.5,10999,Motorola,128,18.0,480 x 960,Octa Core,Snapdragon,50,16,Dual Sim,Yes
946,8.0,6000,6.58,11999,Motorola,128,18.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
947,4.0,5000,6.55,9999,Motorola,64,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
948,4.0,5000,6.6,10999,Motorola,64,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,No
949,3.0,5000,6.5,11999,Motorola,32,10.0,480 x 960,Octa Core,Helio,16,5,Single Sim,No
950,4.0,4500,6.5,10990,Motorola,64,10.0,480 x 960,Octa Core,Helio,16,5,Dual Sim,No
951,4.0,5000,6.5,9990,Motorola,64,18.0,480 x 960,Octa Core,Helio,16,8,Dual Sim,No
952,4.0,5000,6.5,9999,Motorola,64,18.0,480 x 960,Octa Core,Helio,16,8,Dual Sim,No
953,4.0,5000,6.5,11999,Motorola,64,18.0,480 x 960,Octa Core,Unisoc,16,8,Dual Sim,No
954,4.0,5000,6.51,10990,Motorola,64,15.0,480 x 960,Octa Core,Snapdragon,64,13,Dual Sim,No
955,8.0,6000,6.5,14999,Motorola,128,33.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
956,8.0,6000,6.5,14999,Motorola,128,33.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
957,6.0,6000,6.78,14989,Motorola,128,20.0,1080 x 2400,Octa Core,Snapdragon,108,32,Dual Sim,No
958,4.0,6000,6.78,12490,Motorola,64,20.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,No
959,8.0,6000,6.56,14990,Motorola,128,33.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
960,4.0,5000,6.58,14990,Motorola,128,67.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,No
961,6.0,5000,6.56,12990,Motorola,128,33.0,1080 x 2400,Octa Core,Helio,64,16,Dual Sim,No
962,4.0,5000,6.47,13990,Motorola,64,20.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
963,8.0,5000,6.67,12990,Motorola,128,44.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,No
964,4.0,5000,6.67,13990,Motorola,128,33.0,1080 x 2400,Octa Core,Helio,50,32,Dual Sim,No
965,4.0,5000,6.5,12990,Motorola,64,15.0,480 x 960,Octa Core,Snapdragon,50,8,Single Sim,No
966,4.0,5000,6.6,14999,Motorola,64,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
967,4.0,5000,6.5,12999,Motorola,64,18.0,480 x 960,Octa Core,Snapdragon,48,8,Dual Sim,No
968,6.0,5000,6.47,12999,Motorola,128,20.0,1080 x 2400,Octa Core,Helio,50,13,Dual Sim,No
969,3.0,5000,6.5,12990,Motorola,32,18.0,480 x 960,Octa Core,Helio,16,5,Single Sim,No
970,12.0,6000,6.5,16999,Motorola,256,33.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
971,12.0,5000,6.55,18928,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
972,12.0,6000,6.5,16999,Motorola,256,33.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
973,8.0,5000,6.6,17990,Motorola,128,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
974,8.0,4500,6.28,19999,Motorola,128,33.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
975,8.0,6000,6.6,19990,Motorola,128,33.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
976,8.0,5000,6.56,19990,Motorola,128,44.0,1080 x 2400,Octa Core,Dimensity,64,32,Dual Sim,Yes
977,6.0,5000,6.55,16999,Motorola,128,33.0,1080 x 2400,Octa Core,Helio,108,16,Dual Sim,No
978,8.0,5000,6.55,15990,Motorola,128,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
979,4.0,5000,6.5,19999,Motorola,128,30.0,480 x 960,Octa Core,Helio,50,16,Dual Sim,No
980,8.0,6000,6.5,15990,Motorola,128,44.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
981,4.0,5000,6.6,16990,Motorola,128,18.0,480 x 960,Octa Core,Snapdragon,50,8,Dual Sim,Yes
982,6.0,5000,6.67,16990,Motorola,128,33.0,1080 x 2400,Octa Core,Octa,64,16,Dual Sim,Yes
983,4.0,5000,6.5,19999,Motorola,128,30.0,480 x 960,Octa Core,Snapdragon,50,8,Single Sim,Yes
984,4.0,5000,6.5,19990,Motorola,128,15.0,480 x 960,Octa Core,Snapdragon,48,8,Dual Sim,Yes
985,8.0,5000,6.55,20999,Motorola,128,68.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
986,12.0,5000,6.55,22999,Motorola,256,68.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
987,8.0,4500,6.55,26999,Motorola,256,68.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
988,12.0,5000,6.56,20990,Motorola,256,67.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
989,12.0,5000,6.67,29999,Motorola,256,80.0,1080 x 2400,Octa Core,Dimensity,108,32,Dual Sim,Yes
990,8.0,5000,6.56,24999,Motorola,256,68.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
991,12.0,5000,6.55,29999,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
992,8.0,4500,6.5,21999,Motorola,128,33.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
993,6.0,5000,6.8,28990,Motorola,256,18.0,1080 x 2400,Octa Core,Snapdragon,48,16,Single Sim,Yes
994,6.0,4500,6.5,24999,Motorola,128,33.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
995,8.0,4000,6.7,22999,Motorola,128,30.0,1080 x 2400,Octa Core,Snapdragon,108,32,Dual Sim,Yes
996,6.0,5000,6.6,20990,Motorola,128,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
997,6.0,5000,6.8,23990,Motorola,128,33.0,1080 x 2400,Octa Core,Snapdragon,108,16,Dual Sim,Yes
998,8.0,5000,6.7,25999,Motorola,128,30.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
999,8.0,4500,6.58,29990,Motorola,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1000,6.0,5000,6.67,20999,Motorola,128,20.0,1080 x 2400,Octa Core,Snapdragon,48,16,Dual Sim,Yes
1001,8.0,4500,6.7,31999,Motorola,256,68.0,1260 x 2800,Octa Core,Snapdragon,50,50,Dual Sim,Yes
1002,8.0,5000,6.7,34990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1003,12.0,4500,6.7,35999,Motorola,256,125.0,1260 x 2800,Octa Core,Snapdragon,50,50,Dual Sim,Yes
1004,8.0,5000,6.7,33499,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,32,Single Sim,Yes
1005,8.0,4500,6.55,30990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1006,8.0,5000,6.7,39990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1007,6.0,5000,6.58,34990,Motorola,128,67.0,1080 x 2400,Octa Core,Dimensity,50,16,Dual Sim,Yes
1008,8.0,5000,6.7,39999,Motorola,128,125.0,1080 x 2400,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1009,8.0,4500,6.28,31990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
1010,12.0,5000,6.7,37999,Motorola,512,68.0,1080 x 2400,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1011,8.0,4500,6.6,39990,Motorola,256,68.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
1012,6.0,5000,6.6,32990,Motorola,256,20.0,1080 x 2400,Octa Core,Snapdragon,50,16,Single Sim,Yes
1013,8.0,5000,6.67,39990,Motorola,128,80.0,1080 x 2400,Octa Core,Dimensity,108,32,Dual Sim,Yes
1014,8.0,5000,6.56,35999,Motorola,256,33.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1015,8.0,5000,6.67,34990,Motorola,128,68.2,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
1016,8.0,5000,6.6,39990,Motorola,256,30.0,1080 x 2400,Octa Core,Dimensity,50,32,Single Sim,Yes
1017,8.0,5000,6.8,37990,Motorola,256,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1018,12.0,5000,6.8,49990,Motorola,256,135.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
1019,12.0,5000,6.78,49990,Motorola,256,125.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
1020,8.0,4500,6.9,44999,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1021,12.0,5000,6.7,49999,Motorola,256,18.0,1080 x 2400,Octa Core,Snapdragon,108,25,Single Sim,Yes
1022,8.0,4500,6.67,42990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1023,8.0,5000,6.6,49990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1024,8.0,4500,6.67,41990,Motorola,128,125.0,1080 x 2400,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1025,6.0,5000,6.58,45990,Motorola,128,15.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
1026,12.0,5000,6.7,46999,Motorola,256,68.0,1080 x 2400,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1027,8.0,5500,6.7,39999,Motorola,128,18.0,1080 x 2400,Octa Core,Snapdragon,64,8,Dual Sim,Yes
1028,8.0,5000,6.67,55990,Motorola,256,80.0,1080 x 2400,Octa Core,Dimensity,64,32,Dual Sim,Yes
1029,12.0,5000,6.79,59990,Motorola,512,150.0,1260 x 2800,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1030,8.0,4500,6.9,59990,Motorola,128,44.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1031,12.0,5000,6.82,54990,Motorola,256,150.0,1080 x 2400,Octa Core,Snapdragon,100,50,Dual Sim,Yes
1032,8.0,5500,6.67,54990,Motorola,512,68.0,1080 x 2400,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1033,8.0,4500,6.67,59990,Motorola,128,125.0,1080 x 2400,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1034,8.0,5000,6.7,54990,Motorola,128,68.0,1080 x 2400,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1035,8.0,4500,6.7,59990,Motorola,128,125.0,1080 x 2400,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1036,12.0,4500,6.7,88990,Motorola,512,125.0,1260 x 2800,Octa Core,Snapdragon,64,50,Dual Sim,Yes
1037,8.0,5000,6.67,69999,Motorola,128,125.0,1080 x 2400,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1038,8.0,4000,6.9,69999,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1039,12.0,5000,6.82,69990,Motorola,512,150.0,1260 x 2800,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1040,12.0,3500,5.0,159990,Motorola,512,65.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1041,12.0,4000,6.9,89990,Motorola,256,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1042,12.0,5000,6.67,79990,Motorola,256,125.0,1080 x 2400,Octa Core,Snapdragon,50,60,Dual Sim,Yes
1043,8.0,4000,6.9,79990,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1044,8.0,4000,6.9,74999,Motorola,256,30.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1045,12.0,4000,6.9,89990,Motorola,256,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1046,8.0,3500,6.67,89990,Motorola,128,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1047,12.0,3500,6.73,129990,Motorola,512,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1048,8.0,4500,6.67,62990,Motorola,128,125.0,1080 x 2400,Octa Core,Snapdragon,200,60,Dual Sim,Yes
1049,12.0,3000,6.7,94990,Motorola,512,33.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1050,6.0,3000,6.2,149999,Motorola,128,18.0,480 x 960,Octa Core,Snapdragon,50,16,Single Sim,No
1051,4.0,6000,6.52,14999,OnePlus,64,18.0,480 x 960,Octa Core,Snapdragon,13,8,Dual Sim,No
1052,8.0,5000,6.7,20000,OnePlus,128,80.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1053,8.0,5000,6.72,16899,OnePlus,128,67.0,1080 x 2400,Octa Core,Snapdragon,108,16,Dual Sim,Yes
1054,8.0,5000,6.72,18879,OnePlus,256,67.0,1080 x 2400,Octa Core,Snapdragon,108,16,Dual Sim,Yes
1055,6.0,5000,6.59,16134,OnePlus,128,33.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
1056,6.0,4500,6.43,18999,OnePlus,128,65.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
1057,4.0,5000,6.49,16990,OnePlus,64,18.0,1080 x 2400,Octa Core,Snapdragon,13,16,Dual Sim,Yes
1058,4.0,5000,6.72,18999,OnePlus,128,33.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
1059,8.0,4500,6.55,19999,OnePlus,128,30.0,1080 x 2400,Octa Core,Snapdragon,48,16,Dual Sim,No
1060,4.0,5000,6.56,18990,OnePlus,64,33.0,480 x 960,Octa Core,Dimensity,48,16,Dual Sim,Yes
1061,8.0,5500,6.7,24454,OnePlus,128,100.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1062,8.0,5000,6.74,29999,OnePlus,128,100.0,1260 x 2800,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1063,8.0,5000,6.7,20065,OnePlus,128,80.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1064,8.0,5000,6.74,22592,OnePlus,128,80.0,1260 x 2800,Octa Core,Dimensity,50,16,Dual Sim,Yes
1065,8.0,5000,6.74,20990,OnePlus,128,67.0,1080 x 2400,Octa Core,Snapdragon,108,16,Dual Sim,Yes
1066,8.0,5500,6.7,26674,OnePlus,256,100.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1067,12.0,4500,6.43,22999,OnePlus,256,80.0,1080 x 2400,Octa Core,Dimensity,50,32,Dual Sim,Yes
1068,12.0,5500,6.74,23999,OnePlus,256,100.0,1260 x 2800,Octa Core,Snapdragon,50,16,Dual Sim,Yes
1069,8.0,4500,6.43,22499,OnePlus,128,65.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
1070,8.0,4500,6.55,29990,OnePlus,128,65.0,1080 x 2400,Octa Core,Snapdragon,48,16,Dual Sim,Yes
1071,12.0,4500,6.55,29990,OnePlus,256,65.0,1080 x 2400,Octa Core,Snapdragon,48,16,Dual Sim,Yes
1072,8.0,5000,6.7,29990,OnePlus,256,80.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
1073,8.0,5000,6.59,22990,OnePlus,128,18.0,1080 x 2400,Octa Core,Dimensity,64,16,Dual Sim,Yes
1074,8.0,4500,6.62,29990,OnePlus,128,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
