,Ram,Battery,Display,Price,company,Inbuilt_memory,fast_charging,Screen_resolution,Processor,Processor_name,rear,front,no_of_sim,Is_5G
675,18.0,6000,6.78,82999,Asus,512,80.0,1080 x 2400,Octa Core,Snapdragon,64,24,Dual Sim,Yes
676,12.0,5500,6.78,81990,Asus,256,65.0,1080 x 2400,Octa Core,Snapdragon,50,32,Dual Sim,Yes
677,18.0,6000,6.78,79999,Asus,512,65.0,1080 x 2400,Octa Core,Snapdragon,64,24,Dual Sim,Yes
678,16.0,6000,6.78,79990,Asus,256,65.0,1080 x 2400,Octa Core,Snapdragon,108,12,Dual Sim,Yes
679,2.0,4000,6.26,9499,LG,32,18.0,480 x 960,Octa Core,Helio,13,8,Dual Sim,No
680,4.0,4000,6.8,27999,LG,64,18.0,1080 x 2400,1.6 GHz Processor,Octa,48,13,Dual Sim,Yes
681,6.0,4500,6.8,49999,LG,128,25.0,1080 x 2400,Octa Core,Snapdragon,48,16,Dual Sim,Yes
682,6.0,4500,6.8,54999,LG,128,25.0,1080 x 2400,Octa Core,Snapdragon,48,16,Dual Sim,Yes
683,8.0,5000,6.8,79990,LG,128,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
684,8.0,5000,6.82,82990,LG,128,18.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
685,3.0,4000,6.09,7124,Lenovo,32,10.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
686,3.0,4000,5.2,7290,Lenovo,32,18.0,1080 x 2400,Octa Core,Helio,13,8,Dual Sim,No
687,4.0,4000,6.09,7499,Lenovo,64,18.0,480 x 960,1.6 GHz Processor,Octa,13,5,Dual Sim,No
688,4.0,4000,5.99,7499,Lenovo,64,18.0,480 x 960,Octa Core,Qualcomm,16,8,Dual Sim,No
689,4.0,5000,6.53,9990,Lenovo,64,20.0,480 x 960,Octa Core,Helio,50,16,Dual Sim,No
690,3.0,5000,6.5,9499,Lenovo,32,18.0,480 x 960,1.6 GHz Processor,Octa,13,8,Dual Sim,No
691,4.0,5000,6.5,11490,Lenovo,128,18.0,480 x 960,Octa Core,Snapdragon,48,13,Dual Sim,No
692,4.0,5000,6.51,13990,Lenovo,64,15.0,480 x 960,Octa Core,Snapdragon,64,13,Dual Sim,No
693,8.0,5500,6.67,34990,Lenovo,128,68.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
694,12.0,6000,6.92,46990,Lenovo,256,68.0,1080 x 2400,Octa Core,Snapdragon,64,16,Dual Sim,Yes
695,16.0,6000,6.67,49990,Lenovo,256,68.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
696,12.0,5500,6.92,54990,Lenovo,256,125.0,1080 x 2400,Octa Core,Snapdragon,64,44,Dual Sim,Yes
